Date,Open,High,Low,Close,Volume,AdjustedClose
20210922,3520,3650,3520,3610,416087300,3610
20210923,3600,3770,3590,3770,432390800,3770
20210924,3790,3860,3770,3820,634549600,3820
20210927,3770,3800,3730,3750,380151200,3750
20210928,3770,3770,3690,3720,306827400,3720
20210929,3720,3750,3690,3740,143081800,3740
20210930,3760,3870,3750,3850,416099000,3850
20211001,3850,3920,3830,3900,359864700,3900
20211004,3900,4010,3890,3970,335762600,3970
20211005,3950,3980,3910,3930,236562700,3930
20211006,3920,4150,3920,4120,446708800,4120
20211007,4150,4170,4070,4120,264905400,4120
20211008,4190,4240,4130,4160,196631600,4160
20211011,4160,4200,4130,4180,146720100,4180
20211012,4180,4240,4180,4220,241196000,4220
20211013,4230,4300,4220,4280,264629400,4280
20211014,4280,4350,4230,4250,196989500,4250
20211015,4250,4330,4220,4320,318189600,4320
20211018,4350,4410,4340,4410,286829000,4410
20211019,4450,4450,4360,4400,161256300,4400
20211021,4450,4460,4320,4360,319230200,4360
20211022,4340,4400,4320,4400,160459300,4400
20211025,4330,4370,4300,4300,128240100,4300
20211026,4280,4370,4270,4350,108782400,4350
20211027,4330,4340,4260,4290,258038300,4290
20211028,4210,4300,4200,4240,159645200,4240
20211029,4300,4300,4220,4250,155011100,4250
20211101,4330,4330,4220,4230,102079300,4230
20211102,4270,4270,4210,4210,124799700,4210
20211103,4250,4300,4210,4290,100486300,4290
20211104,4330,4340,4250,4250,119591100,4250
20211105,4270,4270,4210,4240,74347000,4240
20211108,4250,4260,4220,4230,79465600,4230
20211109,4230,4250,4220,4250,92453200,4250
20211110,4230,4260,4210,4250,69475400,4250
20211111,4290,4300,4230,4250,149637700,4250
20211112,4270,4290,4210,4220,80234400,4220
20211115,4220,4220,4140,4160,220142300,4160
20211116,4120,4170,4120,4130,163555000,4130
20211117,4170,4200,4160,4200,126523700,4200
20211118,4150,4190,4140,4180,114881200,4180
20211119,4220,4290,4220,4280,182167700,4280
20211122,4310,4310,4250,4280,151514000,4280
20211123,4280,4280,4200,4210,104294200,4210
20211124,4200,4230,4190,4210,111072800,4210
20211125,4180,4250,4180,4220,123609400,4220
20211126,4190,4220,4150,4160,148652500,4160
20211129,4150,4190,4080,4170,164312800,4170
20211130,4150,4220,4090,4090,316653200,4090
20211201,4090,4180,4070,4080,163457900,4080
20211202,4060,4220,4060,4200,139281800,4200
20211203,4210,4220,4170,4170,93227100,4170
20211206,4200,4220,4110,4110,106610000,4110
20211207,4190,4230,4160,4230,182048000,4230
20211208,4250,4250,4170,4210,143230200,4210
20211209,4220,4220,4160,4190,90471500,4190
20211210,4130,4160,4130,4130,122999200,4130
20211213,4170,4200,4160,4160,86848900,4160
